model,mode,task_id,task_type,planning_exec_ready,spec_path,contract_compatible,execution_success,output_valid,row_or_pixel_count,required_fields_ok,geometry_or_raster_ok,duration_seconds,output_path,error_type,error_message
qwen2.5-coder:1.5b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T018_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
qwen2.5-coder:1.5b,grounded,T019,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T019_grounded.json,1,1,1,44,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T019/T019_temperature_clip_compressed.tif,,
qwen2.5-coder:1.5b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_1.5b/grounded/T020_grounded.json,1,1,1,44,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_1.5b/grounded/T020/T020_temperature_clip_metadata.tif,,
qwen2.5-coder:14b,grounded,T002,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T002_grounded.json,1,1,1,116,1,1,0.031,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T002/T002_buffer_hospitals_2500m.gpkg,,
qwen2.5-coder:14b,grounded,T011,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T011_grounded.json,1,1,1,2498,1,1,0.096,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T011/T011_school_count_by_tract.gpkg,,
qwen2.5-coder:14b,grounded,T012,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T012_grounded.json,1,1,1,2498,1,1,0.084,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T012/T012_hospital_count_by_tract.gpkg,,
qwen2.5-coder:14b,grounded,T013,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T013_grounded.json,1,1,1,2498,1,1,0.098,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T013/T013_school_density_by_tract.gpkg,,
qwen2.5-coder:14b,grounded,T014,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T014_grounded.json,1,1,1,1399,1,1,0.090,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T014/T014_tracts_with_schools.gpkg,,
qwen2.5-coder:14b,grounded,T016,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T016_grounded.json,1,1,1,44,1,1,0.008,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T016/T016_temperature_clip.tif,,
qwen2.5-coder:14b,grounded,T017,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T017_grounded.json,1,1,1,117,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T017/T017_temperature_clip_nodata.tif,,
qwen2.5-coder:14b,grounded,T018,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T018_grounded.json,1,1,1,117,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T018/T018_temperature_clip_boundary_crs.tif,,
qwen2.5-coder:14b,grounded,T019,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T019_grounded.json,0,0,0,0,0,0,0.000,,ValueError,missing expected layer mentions: ['study_boundary']
qwen2.5-coder:14b,grounded,T020,raster_clip,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T020_grounded.json,1,1,1,117,1,1,0.007,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T020/T020_temperature_clip_metadata.tif,,
qwen2.5-coder:14b,grounded,T021,zonal_statistics,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T021_grounded.json,1,1,1,2498,1,1,1.353,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T021/T021_temperature_zonal_stats.gpkg,,
qwen2.5-coder:14b,grounded,T022,zonal_statistics,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T022_grounded.json,1,1,1,2498,1,1,1.339,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T022/T022_temperature_mean_by_tract.gpkg,,
qwen2.5-coder:14b,grounded,T023,zonal_statistics,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T023_grounded.json,1,1,1,8,1,1,1.295,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T023/T023_temperature_stats_hot_tracts.gpkg,,
qwen2.5-coder:14b,grounded,T026,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T026_grounded.json,1,1,1,117700,1,1,0.343,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T026/T026_temperature_choropleth.png,,
qwen2.5-coder:14b,grounded,T027,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T027_grounded.json,1,1,1,122199,1,1,0.395,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T027/T027_school_density_choropleth.png,,
qwen2.5-coder:14b,grounded,T028,choropleth_export,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_14b/grounded/T028_grounded.json,1,1,1,118545,1,1,0.543,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_14b/grounded/T028/T028_flood_exposure_choropleth.png,,
qwen2.5-coder:32b,grounded,T002,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T002_grounded.json,1,1,1,116,1,1,0.030,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T002/T002_buffer_hospitals_2500m.gpkg,,
qwen2.5-coder:32b,grounded,T005,buffer_service_area,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T005_grounded.json,1,1,1,116,1,1,0.041,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T005/T005_buffer_hospitals_area.gpkg,,
qwen2.5-coder:32b,grounded,T011,point_count_join,1,experiments/07_grounded_gis_workflow_benchmark/outputs/generated_specs/qwen2.5-coder_32b/grounded/T011_grounded.json,1,1,1,2498,1,1,0.114,experiments/08_workflow_contract_execution/outputs/artifacts/qwen2.5-coder_32b/grounded/T011/T011_school_count_by_tract.gpkg,,
