model,mode,task_id,task_type,mutation_type,detected,detection_reasons
deepseek-coder:6.7b,grounded,T008,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T008,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T009,overlay_intersection,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T009,overlay_intersection,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T009,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T009,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T010,overlay_intersection,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T010,overlay_intersection,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T010,overlay_intersection,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T010,overlay_intersection,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T011,point_count_join,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T011,point_count_join,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T011,point_count_join,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T011,point_count_join,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T012,point_count_join,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T012,point_count_join,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T012,point_count_join,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T012,point_count_join,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T013,point_count_join,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T013,point_count_join,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T013,point_count_join,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T013,point_count_join,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T014,point_count_join,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T014,point_count_join,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T014,point_count_join,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T014,point_count_join,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T015,point_count_join,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T015,point_count_join,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T015,point_count_join,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T015,point_count_join,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T016,raster_clip,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T016,raster_clip,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T016,raster_clip,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T016,raster_clip,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T018,raster_clip,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T018,raster_clip,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T018,raster_clip,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T018,raster_clip,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T019,raster_clip,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T019,raster_clip,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T019,raster_clip,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T019,raster_clip,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T020,raster_clip,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T020,raster_clip,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T020,raster_clip,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T020,raster_clip,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T021,zonal_statistics,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T021,zonal_statistics,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T021,zonal_statistics,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T021,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T022,zonal_statistics,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T022,zonal_statistics,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T022,zonal_statistics,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T022,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T023,zonal_statistics,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T023,zonal_statistics,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T023,zonal_statistics,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T023,zonal_statistics,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T026,choropleth_export,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T026,choropleth_export,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T026,choropleth_export,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T026,choropleth_export,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T026,choropleth_export,invalid_choropleth_colormap,1,invalid_colormap
deepseek-coder:6.7b,grounded,T029,choropleth_export,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T029,choropleth_export,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T029,choropleth_export,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T029,choropleth_export,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T029,choropleth_export,invalid_choropleth_colormap,1,invalid_colormap
deepseek-coder:6.7b,grounded,T030,choropleth_export,wrong_operation_family,1,operation_mismatch
deepseek-coder:6.7b,grounded,T030,choropleth_export,missing_required_layer_role,1,missing_layer_roles
deepseek-coder:6.7b,grounded,T030,choropleth_export,hallucinated_layer_alias,1,hallucinated_layer_name;missing_layer_roles
deepseek-coder:6.7b,grounded,T030,choropleth_export,wrong_output_filename,1,output_filename_mismatch
deepseek-coder:6.7b,grounded,T030,choropleth_export,invalid_choropleth_colormap,1,invalid_colormap
gemma3:4b,grounded,T001,buffer_service_area,wrong_operation_family,1,operation_mismatch
